ph,hardness,solid,chloramine,sulfate,conductivity,carbon,trihalo,turbidity,potability
6.79,209.13,"20,149.18",5.80,288.36,291.30,12.33,57.30,3.08,0.00
6.01,226.87,"20,279.70",8.17,225.52,275.99,9.65,52.64,4.03,0.00
,204.38,"32,951.32",6.00,324.51,339.64,4.47,71.19,4.91,0.00
6.34,214.07,"14,619.63",6.58,316.00,370.80,12.22,83.67,3.79,0.00
7.47,223.26,"19,932.59",5.77,317.71,590.33,13.56,89.45,3.88,0.00
,214.19,"21,671.28",8.27,,473.42,15.71,73.17,4.25,0.00
7.38,237.92,"16,862.54",7.10,306.18,478.65,13.25,92.86,5.03,0.00
10.07,144.61,"39,716.13",4.50,390.91,415.05,17.66,,3.78,0.00
5.92,274.26,"6,967.74",10.07,247.65,321.24,12.09,39.45,2.59,0.00
,171.70,"38,971.05",8.37,385.95,397.44,17.20,73.65,2.64,0.00
6.12,151.69,"15,092.02",6.61,382.32,388.14,16.62,69.17,4.21,0.00
,137.25,"20,593.93",3.96,393.68,520.41,19.25,50.03,3.30,0.00
7.88,250.90,"15,741.08",8.08,,391.26,16.54,59.25,3.91,0.00
6.02,178.22,"18,966.36",10.21,,400.57,12.84,60.87,4.66,0.00
,193.17,"20,894.40",7.33,359.43,417.42,16.79,38.11,3.82,0.00
,166.70,"14,807.41",6.80,269.71,536.34,13.84,77.55,3.43,0.00
6.59,166.97,"30,210.25",9.51,340.25,430.08,23.23,72.80,4.28,0.00
6.34,157.05,"21,079.61",7.28,318.85,351.02,14.02,64.41,4.58,0.00
6.63,238.32,"12,829.09",7.35,331.30,451.73,19.64,73.20,4.36,0.00
5.40,197.92,"9,968.96",7.88,,503.90,17.41,77.38,3.56,0.00
7.46,221.34,"25,480.92",6.93,,438.62,13.09,58.08,2.41,0.00
6.71,148.25,"20,922.15",4.63,,400.34,18.33,40.50,1.69,0.00
8.05,239.14,"28,545.36",5.10,,574.40,17.78,56.35,3.52,0.00
5.37,238.29,"16,262.94",7.51,255.54,393.53,12.47,27.10,3.18,0.00
6.92,252.35,"11,086.26",9.99,285.74,368.63,17.12,43.67,3.28,0.00
7.03,184.48,"31,659.96",5.23,,559.00,14.39,56.29,2.93,0.00
7.97,173.75,"26,848.63",6.06,337.94,347.75,13.76,75.54,3.20,0.00
8.03,222.63,"18,134.84",8.75,314.47,452.97,12.07,78.55,3.34,0.00
7.61,213.69,"17,598.20",8.13,,384.09,5.05,70.83,3.44,0.00
7.64,209.86,"21,885.50",9.53,,337.63,8.86,63.65,3.76,0.00
7.73,169.05,"38,356.23",6.03,297.33,525.88,16.07,74.91,5.16,0.00
6.27,154.68,"23,050.33",6.83,290.70,421.22,13.88,65.89,3.39,0.00
7.37,155.64,"19,283.40",5.44,399.94,391.32,18.15,63.70,3.82,0.00
,241.18,"25,696.32",5.69,333.90,386.30,14.53,33.92,4.14,0.00
6.32,165.82,"20,481.64",7.61,354.29,422.34,14.79,46.04,2.73,0.00
7.29,205.21,"26,115.62",5.14,357.79,402.87,7.96,63.70,4.70,0.00
6.36,164.62,"17,538.54",8.35,345.14,430.96,15.33,47.02,3.42,0.00
7.97,160.22,"29,477.76",2.46,324.06,371.21,18.69,54.28,4.07,0.00
4.94,267.53,"11,870.42",8.88,,417.41,15.25,22.75,5.07,0.00
7.70,220.57,"29,432.21",6.36,322.75,444.96,13.03,77.83,3.79,0.00
6.05,228.20,"10,215.81",5.98,306.80,441.50,17.23,65.34,4.89,0.00
4.22,120.56,"34,370.20",7.96,411.58,436.77,14.40,64.60,4.28,0.00
8.55,255.32,"31,056.58",3.62,,426.88,13.78,34.45,5.04,0.00
7.75,182.06,"13,655.68",6.82,337.75,328.22,15.23,92.26,4.73,0.00
5.59,220.82,"8,730.31",8.32,300.22,412.71,6.48,80.64,3.17,0.00
8.65,178.59,"18,503.77",7.24,356.26,329.50,15.28,83.78,3.08,0.00
7.90,187.70,"32,210.82",5.00,320.53,400.15,19.87,46.91,4.45,0.00
5.95,136.89,"28,105.96",7.33,389.81,423.96,15.37,68.97,4.77,0.00
8.04,201.81,"11,861.55",7.20,300.40,420.55,7.17,90.76,3.22,0.00
4.31,191.12,"12,770.83",8.23,284.95,499.85,13.50,76.44,3.92,0.00
6.71,209.78,"14,794.41",7.81,,553.64,8.03,78.24,3.17,0.00
5.85,186.81,"19,790.86",6.62,,489.80,19.67,65.04,3.76,0.00
8.82,175.75,"23,173.32",6.73,367.15,552.07,7.73,91.44,3.86,0.00
,171.43,"39,207.59",4.71,354.44,381.69,20.21,97.42,2.81,0.00
,193.58,"19,671.35",7.57,342.67,322.74,18.51,77.71,3.48,0.00
7.48,246.18,"27,109.90",9.79,341.16,339.73,16.22,77.60,3.48,0.00
7.69,155.19,"36,578.22",7.69,405.17,536.89,16.21,77.58,4.04,0.00
7.37,176.34,"16,663.60",8.06,,354.76,10.68,37.36,3.82,0.00
8.93,188.05,"22,139.88",4.25,376.33,438.52,8.60,92.83,5.47,0.00
5.62,221.65,"11,123.89",8.81,314.87,326.35,19.31,84.38,3.44,0.00
6.45,201.60,"27,682.51",5.66,316.11,573.03,14.64,,5.24,0.00
7.57,205.40,"30,823.73",7.82,354.18,395.30,12.10,63.77,3.28,0.00
6.12,240.98,"15,765.79",10.09,339.40,407.32,21.31,63.07,3.72,0.00
7.60,188.37,"32,869.47",6.75,365.21,326.63,13.88,73.44,3.50,0.00
,279.23,"11,380.30",8.59,314.16,467.63,10.88,68.98,3.26,0.00
7.13,165.91,"18,969.82",7.69,,510.98,16.43,47.14,4.71,0.00
7.40,258.02,"18,535.05",5.50,339.84,354.67,14.98,73.01,3.80,0.00
7.00,168.95,"20,518.56",10.14,,457.65,9.81,56.92,3.35,0.00
5.35,238.51,"10,315.35",7.82,281.77,496.35,12.62,87.34,2.36,0.00
6.19,174.80,"22,198.93",7.61,,479.09,13.74,51.50,5.21,0.00
6.07,161.53,"26,764.49",6.24,,485.87,18.78,81.95,4.70,0.00
7.10,196.73,"30,235.17",5.98,308.20,453.95,16.06,31.56,4.86,0.00
,189.76,"16,737.11",7.03,,410.48,14.55,60.14,3.09,0.00
3.93,191.67,"17,328.16",7.69,306.48,406.09,9.58,45.48,5.06,0.00
6.35,244.85,"13,858.70",9.18,,403.56,12.52,59.05,4.16,0.00
6.00,219.72,"19,345.79",6.03,264.29,497.48,16.38,46.30,5.05,0.00
8.90,208.11,"17,915.09",4.79,334.57,381.16,14.40,48.30,3.93,0.00
7.38,194.87,"28,767.76",5.07,349.99,495.04,14.25,77.09,5.13,0.00
8.98,184.31,"24,967.32",6.26,335.22,485.58,8.28,63.94,4.26,0.00
8.53,216.45,"30,268.42",6.30,330.98,436.16,11.90,55.92,2.38,0.00
7.21,176.64,"34,727.41",5.16,287.71,332.20,10.33,77.26,3.50,0.00
,184.67,"14,368.13",8.13,334.75,472.33,16.07,73.71,4.58,0.00
8.90,107.38,"27,622.75",6.16,460.11,444.93,14.00,78.35,4.75,0.00
6.58,219.18,"21,961.53",6.99,348.90,341.21,15.18,68.98,3.67,0.00
,204.24,"14,665.40",8.58,360.39,359.62,15.16,58.95,4.38,0.00
,160.60,"49,125.36",6.34,409.50,327.92,14.41,64.64,3.29,0.00
5.99,275.89,"21,229.08",8.94,,354.11,11.78,92.23,5.05,0.00
6.84,166.68,"28,263.80",7.12,318.79,532.18,21.47,78.23,5.09,0.00
,157.83,"21,716.42",5.41,,479.00,18.93,80.20,3.83,0.00
7.15,181.43,"33,266.57",8.38,373.20,485.11,15.47,52.81,4.78,0.00
,237.71,"21,862.75",8.96,318.17,434.39,11.67,59.78,3.94,0.00
7.51,172.50,"18,328.70",6.91,351.42,377.08,10.68,68.85,3.70,0.00
8.00,214.82,"20,575.57",6.19,312.01,513.54,17.70,70.29,4.82,0.00
5.17,234.33,"11,746.61",6.96,314.99,407.10,13.77,36.18,3.69,0.00
,191.15,"23,172.28",7.13,290.71,365.14,12.68,69.07,4.02,0.00
6.48,180.96,"28,165.87",7.16,371.41,370.29,16.94,,3.09,0.00
7.81,258.89,"20,911.90",6.36,289.14,421.13,9.63,71.70,4.55,0.00
7.44,242.73,"20,185.59",6.12,306.17,413.66,10.26,64.53,3.87,0.00
7.95,178.07,"18,677.28",5.70,368.22,356.29,18.64,61.46,2.86,0.00
6.40,243.72,"12,278.99",6.79,,489.45,17.64,,4.19,0.00
,208.37,"22,444.09",5.40,338.06,540.90,9.98,84.57,3.59,0.00
8.06,191.28,"29,298.36",6.13,356.65,278.50,12.61,65.51,3.13,0.00
,149.84,"20,283.78",10.01,383.11,355.18,17.00,53.80,2.03,0.00
,220.99,"26,492.72",4.95,,388.97,21.09,70.27,4.88,0.00
9.50,124.48,"33,681.33",4.81,427.18,530.22,19.97,49.81,5.24,0.00
7.98,121.07,"40,709.78",5.80,445.36,338.51,12.82,59.27,4.57,0.00
6.26,270.47,"8,572.42",9.92,286.33,490.94,12.93,22.22,4.75,0.00
6.96,219.24,"20,215.63",7.05,306.65,431.37,17.43,56.44,4.59,0.00
9.66,131.71,"24,387.97",4.23,,428.91,18.14,65.36,5.27,0.00
6.73,197.77,"33,820.65",7.40,353.18,321.36,19.34,85.37,3.89,0.00
4.89,272.92,"15,496.61",6.99,266.56,569.58,17.30,79.60,3.08,0.00
9.61,156.93,"33,954.44",4.64,,485.38,11.05,,4.96,0.00
8.52,128.26,"32,018.29",6.06,458.44,554.14,15.98,87.47,4.15,0.00
6.95,201.81,"21,709.65",6.12,352.30,417.18,19.68,49.24,4.00,0.00
6.02,170.73,"10,925.36",8.20,305.80,508.85,12.24,62.97,3.67,0.00
9.01,167.92,"34,865.36",3.14,400.69,385.41,16.57,50.53,4.27,0.00
7.95,277.12,"24,244.11",7.56,273.38,306.84,11.80,70.02,3.04,0.00
7.71,189.80,"32,910.53",5.76,367.76,397.85,15.24,,4.14,0.00
6.08,209.06,"10,120.11",9.41,,410.51,8.00,101.16,4.01,0.00
8.15,191.38,"20,506.70",5.48,,445.93,9.42,57.36,5.18,0.00
8.14,210.38,"25,433.47",8.39,385.24,321.87,11.48,85.30,4.14,0.00
7.70,211.34,"12,861.95",9.25,347.63,598.66,10.54,91.12,4.73,0.00
,149.04,"27,687.74",8.66,284.95,288.52,15.74,62.76,3.77,0.00
9.25,168.04,"50,279.26",5.91,415.45,400.00,11.95,62.26,3.30,0.00
6.05,177.44,"28,633.85",8.17,,386.66,15.51,30.56,2.59,0.00
6.15,171.13,"24,978.48",8.22,323.82,406.09,10.88,65.71,4.40,0.00
9.07,184.92,"21,633.72",7.43,394.20,339.36,6.66,,3.84,0.00
7.44,167.33,"31,935.69",7.90,,398.57,14.82,69.25,4.50,0.00
,259.67,"11,949.60",9.44,279.00,469.29,11.75,74.00,3.46,0.00
7.13,275.68,"9,480.62",8.42,295.62,383.46,18.32,94.42,1.99,0.00
6.79,165.79,"17,782.60",4.97,307.75,370.60,15.14,96.60,4.04,0.00
,230.43,"14,916.99",9.62,,379.17,28.30,79.63,3.86,0.00
8.89,171.84,"19,113.01",6.50,404.10,399.67,17.62,76.83,2.99,0.00
9.48,149.56,"32,568.15",5.33,,436.20,13.93,71.83,4.70,0.00
,168.96,"21,030.23",5.56,404.34,440.95,12.35,72.03,4.69,0.00
7.18,225.12,"5,097.83",6.08,361.63,294.99,5.54,81.45,4.01,0.00
6.16,155.84,"25,937.71",8.16,298.19,533.29,14.36,68.12,4.77,0.00
6.47,236.69,"7,656.41",9.84,214.46,356.35,14.41,54.64,2.86,0.00
,162.94,"24,916.63",6.37,388.31,494.29,14.30,84.80,4.30,0.00
7.49,177.35,"24,786.05",8.61,369.21,387.87,14.15,48.97,3.47,0.00
7.32,184.14,"21,044.20",6.84,327.26,379.49,8.34,90.31,4.90,0.00
,253.66,"13,568.27",9.23,256.09,554.57,13.71,97.71,3.07,0.00
6.53,138.01,"19,174.59",7.35,,490.64,16.34,,3.18,0.00
6.93,156.84,"35,793.76",7.29,384.65,398.65,17.86,72.24,4.25,0.00
7.77,194.73,"13,829.94",5.60,,321.91,18.87,,3.91,0.00
8.11,173.66,"27,277.58",6.64,354.04,330.21,16.26,,4.65,0.00
6.31,220.97,"22,418.91",7.15,283.98,350.91,19.86,61.84,4.62,0.00
,165.74,"22,900.12",5.74,379.37,473.80,13.08,63.04,4.07,0.00
6.61,216.43,"17,963.87",7.73,346.29,466.10,11.47,41.25,3.59,0.00
6.63,232.74,"9,809.90",8.34,302.33,458.37,13.30,65.32,3.44,0.00
,247.16,"18,939.62",7.09,305.04,419.45,12.76,60.32,4.29,0.00
5.72,197.10,"12,641.53",8.70,287.01,345.08,17.27,58.41,4.08,0.00
7.74,182.54,"19,713.50",8.85,382.34,489.05,8.87,57.88,3.54,0.00
6.28,148.19,"22,916.57",5.04,,474.62,9.60,61.84,3.62,0.00
8.01,116.73,"45,041.15",5.17,,367.69,13.43,87.38,2.40,0.00
6.51,185.34,"26,262.55",6.74,289.01,410.10,12.92,83.65,3.73,0.00
6.23,227.56,"22,195.21",9.46,,351.18,13.04,63.16,3.89,0.00
7.28,194.88,"18,270.11",6.12,344.88,402.66,15.46,76.99,4.93,0.00
6.04,211.58,"30,191.69",7.71,329.17,431.10,10.62,,5.13,0.00
6.64,205.23,"20,511.37",5.91,313.35,455.69,16.02,52.15,3.71,0.00
5.15,186.56,"18,655.54",7.02,,379.54,17.60,58.83,4.15,0.00
6.11,166.64,"21,319.79",7.68,311.25,340.63,13.62,95.49,6.06,0.00
7.83,182.47,"19,130.96",6.80,340.28,433.46,10.79,75.90,3.81,0.00
6.98,200.47,"30,862.78",6.20,391.67,422.49,9.07,48.25,5.44,0.00
8.55,217.80,"39,030.60",6.99,373.75,340.57,19.08,53.86,2.94,0.00
6.45,275.75,"8,607.61",7.70,272.20,384.38,16.08,54.40,3.72,0.00
7.39,173.53,"20,185.68",9.12,384.12,310.07,23.32,81.13,3.78,0.00
8.36,218.14,"28,722.18",5.54,310.29,471.55,10.64,49.77,3.72,0.00
7.62,113.50,"37,279.13",6.36,377.88,285.35,17.03,48.93,3.78,0.00
5.40,258.90,"10,168.18",9.65,248.71,396.91,15.51,65.81,4.00,0.00
7.08,137.01,"24,282.15",5.71,433.63,342.73,9.11,88.33,5.55,0.00
,233.85,"32,496.64",6.64,347.99,424.65,13.03,55.98,4.30,0.00
7.16,238.33,"13,680.76",9.27,284.41,478.77,16.84,74.38,3.91,0.00
6.85,149.85,"16,203.09",5.73,375.72,350.34,11.72,75.50,4.94,0.00
7.31,244.84,"22,277.63",7.72,369.04,477.24,12.48,60.81,3.71,0.00
9.31,133.14,"41,982.61",6.63,417.25,267.80,10.37,75.44,4.49,0.00
,216.27,"26,964.32",6.38,418.49,573.16,19.89,50.17,4.50,0.00
,250.62,"30,797.52",6.38,,338.81,17.51,74.73,3.37,0.00
6.19,249.53,"12,682.15",6.25,263.27,274.76,14.35,57.62,3.55,0.00
,240.98,"11,429.20",5.52,267.68,323.16,8.67,88.68,3.80,0.00
7.97,151.54,"25,274.61",7.11,352.32,527.69,15.79,52.27,3.39,0.00
9.26,160.43,"19,607.75",3.99,416.70,427.79,14.99,95.80,3.18,0.00
7.75,193.45,"19,019.28",8.11,377.99,597.49,8.94,45.72,3.76,0.00
9.39,252.74,"13,150.21",7.17,,368.83,14.40,50.78,3.05,0.00
8.18,201.55,"21,856.99",5.24,320.26,464.80,15.63,61.65,4.11,0.00
8.34,168.47,"30,969.05",5.45,,302.42,14.53,41.39,3.45,0.00
,207.43,"11,963.32",7.66,325.63,502.05,17.01,64.50,2.81,0.00
7.19,151.31,"23,781.33",9.21,403.79,465.13,16.88,77.52,4.27,0.00
8.61,235.94,"20,862.46",7.62,378.76,418.70,13.61,,3.95,0.00
7.79,257.66,"17,398.39",8.27,251.38,439.70,9.56,54.24,3.39,0.00
3.88,177.71,"21,937.47",7.37,299.24,447.30,12.45,63.16,4.93,0.00
,164.32,"25,236.70",4.37,350.58,413.69,15.42,45.98,3.72,0.00
3.98,160.82,"14,433.78",8.41,311.30,414.33,20.77,78.27,3.75,0.00
5.96,241.03,"22,168.33",6.21,,486.52,13.17,64.72,4.70,0.00
7.53,185.51,"24,454.73",5.79,,393.97,15.07,74.78,3.81,0.00
7.23,231.56,"16,621.49",6.07,,475.82,8.69,35.83,3.68,0.00
,202.81,"11,900.06",8.95,367.53,379.56,13.59,58.82,3.15,0.00
,115.39,"46,077.36",5.29,437.59,422.02,10.81,53.62,4.21,0.00
7.48,117.06,"28,357.94",4.70,414.86,472.06,18.34,76.34,3.71,0.00
4.48,236.28,"26,843.47",4.84,207.89,456.98,16.23,74.04,4.33,0.00
,207.39,"25,110.04",6.33,345.59,420.22,22.35,92.33,2.74,0.00
,162.26,"28,790.55",7.62,377.72,364.27,14.21,99.12,4.48,0.00
6.31,124.85,"31,114.64",5.71,,396.67,18.42,73.10,4.36,0.00
,233.69,"17,317.69",8.95,264.92,311.97,10.75,108.59,4.24,0.00
8.82,216.43,"27,109.24",7.32,,384.02,15.96,78.83,4.42,0.00
6.92,185.82,"14,682.67",9.89,341.07,560.79,22.47,64.40,2.88,0.00
,169.67,"25,541.15",5.46,393.26,359.78,16.82,60.38,3.61,0.00
6.90,110.87,"32,981.26",2.62,368.39,417.25,12.12,33.50,5.06,0.00
6.55,176.01,"38,368.01",7.42,278.09,291.12,19.42,81.37,5.93,0.00
6.58,217.54,"24,480.67",5.84,310.63,476.46,11.43,48.55,3.51,0.00
7.86,218.15,"23,045.73",7.43,349.92,414.37,14.79,72.61,3.59,0.00
6.14,151.78,"20,561.69",8.49,384.16,363.62,13.71,96.58,4.70,0.00
6.95,168.88,"17,540.03",6.41,387.30,372.02,15.20,74.01,2.60,0.00
6.20,214.85,"29,426.47",8.03,369.73,319.77,10.25,65.31,3.49,0.00
,240.13,"38,097.33",5.40,,359.58,13.51,72.77,3.21,0.00
8.37,179.52,"22,022.63",5.22,339.49,396.70,13.70,110.43,2.79,0.00
,205.30,"12,190.17",7.04,313.41,374.52,11.84,47.65,5.03,0.00
5.92,200.94,"17,397.40",6.76,279.20,380.50,11.26,31.97,3.75,0.00
8.83,216.12,"17,732.91",7.86,377.25,301.90,16.21,64.41,4.42,0.00
,187.61,"13,427.07",7.32,,507.57,18.14,79.35,5.32,0.00
6.83,164.27,"14,015.04",6.06,281.68,389.98,14.84,44.37,3.15,0.00
9.28,215.91,"36,622.23",3.90,,383.26,19.03,80.32,4.07,0.00
7.46,226.54,"9,163.29",5.73,,417.13,10.07,67.30,4.28,0.00
7.09,172.69,"25,399.11",6.94,355.25,298.67,13.64,,3.23,0.00
5.65,167.03,"14,547.89",7.74,,347.79,10.69,75.29,5.37,0.00
4.29,192.36,"24,600.76",8.26,261.36,475.88,10.80,53.62,5.11,0.00
9.68,188.37,"26,402.70",4.07,395.90,325.00,16.92,91.42,3.03,0.00
8.66,173.53,"20,333.08",5.64,439.79,459.63,16.28,89.92,5.12,0.00
5.90,172.03,"30,575.36",8.65,393.55,426.51,16.31,74.54,2.96,0.00
9.49,274.83,"21,879.70",5.27,364.68,581.08,13.64,62.12,3.19,1.00
,173.47,"18,318.72",7.60,282.60,407.64,20.20,79.10,4.18,1.00
7.08,185.83,"39,431.11",8.81,286.22,355.94,7.78,39.62,1.49,1.00
7.56,244.29,"29,567.70",8.65,,278.48,10.05,107.61,4.55,1.00
7.04,199.08,"22,505.52",7.95,,531.48,14.69,58.41,3.93,1.00
8.05,211.78,"37,086.55",8.27,251.44,512.90,19.17,73.25,3.30,1.00
7.04,229.60,"12,575.28",7.84,390.47,558.18,15.75,36.27,4.28,1.00
6.31,133.65,"31,062.37",6.98,252.11,381.06,17.20,71.18,3.60,1.00
6.20,139.13,"6,698.24",3.88,,601.53,13.37,68.30,4.31,1.00
6.88,214.73,"20,509.33",9.04,321.38,306.78,12.48,79.69,4.70,1.00
7.75,210.72,"18,857.06",5.69,376.48,375.67,14.71,43.30,5.13,1.00
7.92,201.46,"39,431.25",7.53,276.21,432.59,17.82,70.24,4.28,1.00
6.41,183.87,"20,526.31",8.45,366.18,548.64,13.45,69.05,4.53,1.00
7.80,239.28,"27,849.14",6.48,356.17,484.10,18.69,50.13,4.25,1.00
6.96,180.40,"12,878.18",6.42,,358.52,16.33,66.30,4.49,1.00
6.97,183.93,"13,401.04",6.46,371.79,433.24,14.58,66.03,4.89,1.00
6.62,195.87,"13,900.72",6.36,387.36,310.85,11.76,52.41,5.61,1.00
7.37,236.48,"18,998.35",7.40,359.93,357.07,18.02,58.27,3.46,1.00
,134.31,"8,076.82",5.32,,599.61,9.25,100.34,3.37,1.00
6.94,198.48,"16,904.20",6.34,299.52,470.60,15.05,61.15,4.24,1.00
5.28,148.86,"11,130.21",6.82,335.66,485.81,13.77,60.94,3.99,1.00
6.85,197.34,"15,349.14",7.45,,373.55,11.37,79.16,4.94,1.00
7.76,206.21,"34,250.16",7.93,299.13,347.18,19.35,80.62,4.59,1.00
7.28,228.54,"29,690.92",7.87,322.27,392.53,15.17,84.37,2.92,1.00
6.83,182.45,"21,670.57",6.41,325.95,397.34,16.51,74.46,2.66,1.00
6.73,187.20,"26,376.06",8.46,337.86,488.98,17.69,77.13,4.59,1.00
8.02,255.26,"30,854.83",8.76,,442.50,11.09,93.27,5.32,1.00
6.86,170.83,"20,464.77",7.07,365.94,400.97,14.00,51.60,4.49,1.00
5.81,157.55,"7,965.21",6.68,263.00,377.70,17.40,69.46,3.60,1.00
8.46,241.77,"29,317.14",5.78,313.89,328.58,18.30,84.51,3.83,1.00
6.99,224.03,"13,505.03",5.87,,479.83,15.92,73.06,3.87,1.00
7.29,233.98,"31,617.08",8.53,331.84,490.05,12.23,31.80,3.53,1.00
8.12,224.76,"16,514.61",5.29,,416.60,12.06,91.86,2.53,1.00
7.46,215.48,"27,150.40",7.78,382.96,403.70,14.78,56.96,5.08,1.00
7.51,224.47,"17,895.56",8.64,,472.34,13.85,74.58,3.52,1.00
6.42,192.43,"19,310.06",6.85,,529.73,16.02,62.53,6.07,1.00
7.06,178.81,"39,484.64",8.59,281.39,520.27,10.80,75.85,2.95,1.00
,179.76,"25,703.16",7.29,,311.09,10.24,42.08,1.66,1.00
7.43,204.49,"18,608.94",7.43,318.18,338.94,16.24,94.61,2.56,1.00
6.74,209.22,"15,488.96",7.45,351.05,408.85,13.92,70.21,4.96,1.00
7.68,217.79,"31,150.51",8.02,,594.70,12.19,77.17,3.54,1.00
7.04,178.29,"25,419.77",6.77,316.43,388.34,11.56,73.26,3.10,1.00
7.19,212.48,"25,645.07",8.14,352.87,435.28,8.93,75.60,2.96,1.00
6.60,191.79,"25,039.35",7.29,395.74,501.53,14.70,80.05,4.32,1.00
6.91,184.94,"16,965.31",6.40,351.35,434.35,11.81,77.37,4.69,1.00
,169.78,"37,273.43",8.03,240.90,454.54,18.62,63.52,3.57,1.00
,165.89,"11,566.88",8.33,,369.29,7.40,66.69,3.60,1.00
6.28,160.31,"17,095.27",6.73,305.09,424.45,14.37,41.28,4.46,1.00
7.04,210.37,"13,812.41",8.38,342.50,489.55,14.82,69.19,3.29,1.00
7.36,180.87,"20,430.91",6.66,,437.39,9.68,69.04,3.25,1.00
7.37,198.20,"28,232.02",8.90,289.60,424.45,18.16,31.60,2.72,1.00
7.71,189.00,"15,456.22",5.05,322.75,523.05,16.09,57.29,4.90,1.00
6.50,171.72,"20,852.76",7.70,282.11,359.46,13.48,83.62,5.40,1.00
8.19,240.98,"23,641.47",6.61,318.69,410.16,13.11,56.91,3.57,1.00
6.15,150.56,"20,596.39",6.91,,431.65,12.83,64.39,4.28,1.00
7.08,196.66,"36,966.85",8.99,294.32,530.05,13.82,85.78,2.66,1.00
6.63,215.25,"18,059.33",6.93,,374.46,11.62,77.94,3.41,1.00
4.70,160.21,"5,128.46",8.28,357.73,344.69,14.22,34.29,4.11,1.00
7.98,234.78,"15,360.84",5.74,377.18,613.63,14.19,48.92,4.75,1.00
6.81,179.72,"35,001.14",8.68,,360.93,13.63,72.72,3.18,1.00
,177.69,"20,325.70",5.85,353.63,279.66,13.96,44.54,4.03,1.00
6.97,177.06,"22,886.97",6.43,315.28,507.79,15.29,35.77,4.82,1.00
6.44,166.64,"24,855.83",9.49,287.41,479.48,10.70,65.66,3.55,1.00
6.28,149.56,"15,751.45",8.26,317.50,605.40,15.22,82.70,5.26,1.00
,166.92,"21,190.15",6.59,285.90,410.69,15.29,75.60,2.51,1.00
9.01,225.37,"49,009.92",6.00,296.63,445.77,16.25,83.89,4.55,1.00
7.78,216.78,"35,055.62",7.78,306.64,447.17,10.61,36.87,4.82,1.00
6.08,155.27,"27,310.06",7.82,,436.99,12.66,,4.30,1.00
7.15,198.15,"32,680.98",8.97,283.11,531.60,19.81,81.93,4.63,1.00
6.75,166.39,"22,475.09",8.90,317.62,527.46,12.82,55.54,3.31,1.00
8.13,231.17,"19,954.58",5.14,349.07,386.07,15.02,63.34,4.68,1.00
,205.24,"22,613.30",6.49,266.64,313.01,11.62,28.40,3.98,1.00
6.34,164.07,"26,594.35",7.38,338.43,607.10,14.93,113.05,4.58,1.00
5.94,175.64,"17,177.07",10.41,308.00,402.89,15.15,74.35,4.00,1.00
7.61,246.03,"33,347.97",8.22,345.81,445.77,10.76,98.37,2.99,1.00
6.72,197.62,"21,043.63",6.63,337.04,641.53,15.55,63.68,4.49,1.00
6.87,185.63,"13,979.38",7.04,375.43,462.54,17.19,74.56,4.35,1.00
,142.28,"21,208.62",9.50,,429.69,16.29,58.96,2.60,1.00
7.55,212.26,"14,319.40",5.79,362.85,450.54,18.18,,4.37,1.00
7.37,234.20,"15,547.19",7.85,364.11,393.25,15.16,64.73,3.39,1.00
6.57,187.67,"20,156.58",7.30,,390.43,12.35,85.21,3.82,1.00
6.33,185.44,"18,506.29",6.57,356.97,366.81,16.44,76.76,3.98,1.00
5.89,139.36,"11,006.05",5.31,339.33,446.49,10.57,89.69,3.31,1.00
7.92,197.36,"22,899.06",8.28,295.35,358.10,12.96,71.69,3.39,1.00
6.55,194.28,"7,412.80",5.84,354.82,361.04,11.67,57.32,4.42,1.00
6.80,224.00,"17,196.05",7.11,374.31,344.72,15.46,60.15,4.85,1.00
,203.05,"20,106.11",8.68,351.34,346.03,11.56,62.95,4.70,1.00
7.18,206.29,"25,794.95",7.79,321.28,485.25,15.57,49.15,4.74,1.00
7.09,206.68,"21,823.09",5.89,,387.62,17.68,55.02,3.93,1.00
7.20,147.71,"37,308.99",5.68,279.16,395.98,13.33,63.63,3.88,1.00
7.78,215.53,"38,895.36",7.76,342.26,349.43,6.12,65.83,5.43,1.00
,209.75,"20,214.22",6.05,323.79,539.46,20.28,72.74,4.26,1.00
7.05,128.48,"30,569.81",4.45,281.72,348.26,15.14,58.16,2.87,1.00
,199.85,"12,635.37",7.89,332.62,293.83,13.22,54.55,4.48,1.00
7.73,189.51,"47,022.75",8.23,287.09,567.72,14.98,71.21,3.51,1.00
6.27,187.83,"27,577.21",9.14,322.92,277.05,13.29,59.45,3.65,1.00
6.63,160.92,"22,557.78",5.31,338.63,416.90,15.79,53.28,5.18,1.00
6.78,154.37,"15,525.39",6.08,343.03,597.98,17.12,56.12,3.02,1.00
,204.74,"25,680.72",7.98,318.68,311.64,20.38,69.02,4.32,1.00
8.16,278.34,"29,045.26",7.99,334.55,384.78,17.41,64.21,4.16,1.00
7.77,251.46,"21,688.62",6.19,395.09,355.83,14.32,67.58,4.04,1.00
7.30,182.41,"13,706.19",5.89,300.61,424.65,18.06,73.84,5.06,1.00
,129.88,"8,906.98",6.83,327.55,525.22,17.66,32.19,3.84,1.00
7.66,230.82,"35,056.23",7.66,364.13,305.63,18.48,72.21,4.79,1.00
7.66,223.58,"20,259.73",7.39,351.16,510.05,14.21,73.19,5.48,1.00
